id,name,region_name,Income_level
DNK,Denmark,Europe & Central Asia,High income
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ECU,Ecuador,Latin America & Caribbean ,Upper middle income
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
ERI,Eritrea,Sub-Saharan Africa ,Low income
ESP,Spain,Europe & Central Asia,High income
EST,Estonia,Europe & Central Asia,High income
ETH,Ethiopia,Sub-Saharan Africa ,Not classified
FIN,Finland,Europe & Central Asia,High income
FJI,Fiji,East Asia & Pacific,Upper middle income
FRA,France,Europe & Central Asia,High income
FRO,Faroe Islands,Europe & Central Asia,High income
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
GAB,Gabon,Sub-Saharan Africa ,Upper middle income
GBR,United Kingdom,Europe & Central Asia,High income
GEO,Georgia,Europe & Central Asia,Upper middle income
GHA,Ghana,Sub-Saharan Africa ,Lower middle income
GIN,Guinea,Sub-Saharan Africa ,Lower middle income
GMB,"Gambia, The",Sub-Saharan Africa ,Low income
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income
GRC,Greece,Europe & Central Asia,High income
GRD,Grenada,Latin America & Caribbean ,Upper middle income
GRL,Greenland,Europe & Central Asia,High income
GTM,Guatemala,Latin America & Caribbean ,Upper middle income
GUM,Guam,East Asia & Pacific,High income
GUY,Guyana,Latin America & Caribbean ,High income
HND,Honduras,Latin America & Caribbean ,Lower middle income
HRV,Croatia,Europe & Central Asia,High income
HTI,Haiti,Latin America & Caribbean ,Lower middle income
HUN,Hungary,Europe & Central Asia,High income
IDN,Indonesia,East Asia & Pacific,Upper middle income
IMN,Isle of Man,Europe & Central Asia,High income
IND,India,South Asia,Lower middle income
IRL,Ireland,Europe & Central Asia,High income
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ISL,Iceland,Europe & Central Asia,High income
ITA,Italy,Europe & Central Asia,High income
JAM,Jamaica,Latin America & Caribbean ,Upper middle income
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
JPN,Japan,East Asia & Pacific,High income
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,Kenya,Sub-Saharan Africa ,Lower middle income
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income
KHM,Cambodia,East Asia & Pacific,Lower middle income
KIR,Kiribati,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income
KOR,"Korea, Rep.",East Asia & Pacific,High income
KWT,Kuwait,"Middle East, North Africa, Afghanistan & Pakistan",High income
LAO,Lao PDR,East Asia & Pacific,Lower middle income
LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
LBR,Liberia,Sub-Saharan Africa ,Low income
LBY,Libya,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
LCA,St. Lucia,Latin America & Caribbean ,Upper middle income
LIE,Liechtenstein,Europe & Central Asia,High income
LKA,Sri Lanka,South Asia,Lower middle income
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income
LTU,Lithuania,Europe & Central Asia,High income
LUX,Luxembourg,Europe & Central Asia,High income
LVA,Latvia,Europe & Central Asia,High income
MAF,St. Martin (French part),Latin America & Caribbean ,High income
MAR,Morocco,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
MCO,Monaco,Europe & Central Asia,High income
MDA,Moldova,Europe & Central Asia,Upper middle income
MDG,Madagascar,Sub-Saharan Africa ,Low income
MDV,Maldives,South Asia,Upper middle income
MEX,Mexico,Latin America & Caribbean ,Upper middle income
MHL,Marshall Islands,East Asia & Pacific,Upper middle income
MKD,North Macedonia,Europe & Central Asia,Upper middle income
MLI,Mali,Sub-Saharan Africa ,Low income
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income
MMR,Myanmar,East Asia & Pacific,Lower middle income
MNE,Montenegro,Europe & Central Asia,Upper middle income
MNG,Mongolia,East Asia & Pacific,Upper middle income
MNP,Northern Mariana Islands,East Asia & Pacific,High income
MOZ,Mozambique,Sub-Saharan Africa ,Low income
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income
MUS,Mauritius,Sub-Saharan Africa ,Upper middle income
MWI,Malawi,Sub-Saharan Africa ,Low income
MYS,Malaysia,East Asia & Pacific,Upper middle income
NAM,Namibia,Sub-Saharan Africa ,Lower middle income
NCL,New Caledonia,East Asia & Pacific,High income
NER,Niger,Sub-Saharan Africa ,Low income
NGA,Nigeria,Sub-Saharan Africa ,Lower middle income
NIC,Nicaragua,Latin America & Caribbean ,Lower middle income
NLD,Netherlands,Europe & Central Asia,High income
NOR,Norway,Europe & Central Asia,High income
NPL,Nepal,South Asia,Lower middle income
NRU,Nauru,East Asia & Pacific,High income
NZL,New Zealand,East Asia & Pacific,High income
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
PAN,Panama,Latin America & Caribbean ,High income
PER,Peru,Latin America & Caribbean ,Upper middle income
PHL,Philippines,East Asia & Pacific,Lower middle income
PLW,Palau,East Asia & Pacific,High income
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income
POL,Poland,Europe & Central Asia,High income
PRI,Puerto Rico (US),Latin America & Caribbean ,High income
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income
PRT,Portugal,Europe & Central Asia,High income
PRY,Paraguay,Latin America & Caribbean ,Upper middle income
PYF,French Polynesia,East Asia & Pacific,High income
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income
ROU,Romania,Europe & Central Asia,High income
RUS,Russian Federation,Europe & Central Asia,High income
RWA,Rwanda,Sub-Saharan Africa ,Low income
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income
SDN,Sudan,Sub-Saharan Africa ,Low income
SEN,Senegal,Sub-Saharan Africa ,Lower middle income
SGP,Singapore,East Asia & Pacific,High income
SLB,Solomon Islands,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,Sub-Saharan Africa ,Low income
SLV,El Salvador,Latin America & Caribbean ,Upper middle income
SMR,San Marino,Europe & Central Asia,High income
SOM,"Somalia, Fed. Rep.",Sub-Saharan Africa ,Low income
SRB,Serbia,Europe & Central Asia,Upper middle income
SSD,South Sudan,Sub-Saharan Africa ,Low income
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income
SUR,Suriname,Latin America & Caribbean ,Upper middle income
SVK,Slovak Republic,Europe & Central Asia,High income
SVN,Slovenia,Europe & Central Asia,High income
SWE,Sweden,Europe & Central Asia,High income
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income
SXM,Sint Maarten (Dutch part),Latin America & Caribbean ,High income
SYC,Seychelles,Sub-Saharan Africa ,High income
SYR,Syrian Arab Republic,"Middle East, North Africa, Afghanistan & Pakistan",Low income
TCA,Turks and Caicos Islands,Latin America & Caribbean ,High income
TCD,Chad,Sub-Saharan Africa ,Low income
TGO,Togo,Sub-Saharan Africa ,Low income
THA,Thailand,East Asia & Pacific,Upper middle income
TJK,Tajikistan,Europe & Central Asia,Lower middle income
TKM,Turkmenistan,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,East Asia & Pacific,Lower middle income
TON,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
TUR,Turkiye,Europe & Central Asia,Upper middle income
TUV,Tuvalu,East Asia & Pacific,Upper middle income
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income
UGA,Uganda,Sub-Saharan Africa ,Low income
UKR,Ukraine,Europe & Central Asia,Upper middle income
URY,Uruguay,Latin America & Caribbean ,High income
USA,United States,North America,High income
UZB,Uzbekistan,Europe & Central Asia,Lower middle income
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified
VGB,British Virgin Islands,Latin America & Caribbean ,High income
VIR,Virgin Islands (U.S.),Latin America & Caribbean ,High income
VNM,Viet Nam,East Asia & Pacific,Lower middle income
VUT,Vanuatu,East Asia & Pacific,Lower middle income
WSM,Samoa,East Asia & Pacific,Upper middle income
XKX,Kosovo,Europe & Central Asia,Upper middle income
YEM,"Yemen, Rep.","Middle East, North Africa, Afghanistan & Pakistan",Low income
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income
